Avg_loss,Accuracy
2.1246691489778855,0.51495
1.8183225280186261,0.5677
1.4511809753202427,0.6024333333333334
1.2083538576229802,0.6372333333333333
1.0583277806036,0.6581166666666667
0.9601237985498107,0.6729
0.8917258115592541,0.6854166666666667
0.8414609500848408,0.6971666666666667
0.8027690566424877,0.7085333333333333
0.7715809122839971,0.7200666666666666
0.7455759080869557,0.7320333333333333
0.7230763739423711,0.7430833333333333
0.7030184234955164,0.7526
0.684785498993229,0.7606333333333334
0.6680240340070176,0.76795
0.6525213077569059,0.7742166666666667
0.6381346399405363,0.7794166666666666
0.624782024320763,0.7851166666666667
0.6124038348701208,0.79045
0.6009366548518891,0.7948666666666667
0.5903252262804808,0.7985833333333333
0.580527322346976,0.8015333333333333
0.5714792802072028,0.8048666666666666
0.5630914309322198,0.8074333333333333
0.555339002596544,0.81045
